Date : 2025-09-01 11:51:47
Directory : /home/omar/Documents/ruleIQ
Total : 2222 files,  904423 codes, 25590 comments, 90891 blanks, all 1020904 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/omar/Documents/ruleIQ/tests/performance/__init__.py                                                     | Python             |          0 |          1 |          1 |          2 |
| /home/omar/Documents/ruleIQ/tests/performance/locustfile.py                                                   | Python             |        522 |         25 |        113 |        660 |
| /home/omar/Documents/ruleIQ/tests/performance/run_performance_tests.py                                        | Python             |        443 |         27 |         92 |        562 |
| /home/omar/Documents/ruleIQ/tests/performance/test_ai_optimization_performance.py                             | Python             |        258 |         27 |         80 |        365 |
| /home/omar/Documents/ruleIQ/tests/performance/test_ai_performance.py                                          | Python             |        396 |         34 |         85 |        515 |
| /home/omar/Documents/ruleIQ/tests/performance/test_api_performance.py                                         | Python             |        525 |         51 |        140 |        716 |
| /home/omar/Documents/ruleIQ/tests/performance/test_database_performance.py                                    | Python             |        650 |         76 |        163 |        889 |
| /home/omar/Documents/ruleIQ/tests/performance/test_performance_fixes.py                                       | Python             |        121 |         22 |         40 |        183 |
| /home/omar/Documents/ruleIQ/tests/security/__init__.py                                                        | Python             |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/tests/security/security-test-suite.js                                             | JavaScript         |        184 |         47 |         52 |        283 |
| /home/omar/Documents/ruleIQ/tests/security/test_authentication.py                                             | Python             |        467 |         76 |        107 |        650 |
| /home/omar/Documents/ruleIQ/tests/security/test_security_fixes.py                                             | Python             |        110 |         27 |         41 |        178 |
| /home/omar/Documents/ruleIQ/tests/stack_auth_dry_run_results.json                                             | JSON               |        606 |          0 |          0 |        606 |
| /home/omar/Documents/ruleIQ/tests/temp_drop_table.py                                                          | Python             |         15 |          1 |          4 |         20 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/TEST_FIX_SUMMARY.md                                    | Markdown           |         46 |          0 |         13 |         59 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/analyze_all_failures.py                                | Python             |         60 |          8 |         19 |         87 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/analyze_test_failures.py                               | Python             |        179 |          9 |         43 |        231 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/debug_analytics_test.py                                | Python             |         16 |          4 |          6 |         26 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/debug_single_analytics_test.py                         | Python             |         16 |          2 |          5 |         23 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/debug_test.py                                          | Python             |         43 |          5 |         20 |         68 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/diagnose_analytics.py                                  | Python             |         33 |          8 |         13 |         54 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/final_test_summary.py                                  | Python             |         39 |          6 |         10 |         55 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/run_test_summary.py                                    | Python             |         25 |          5 |         10 |         40 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/setup_test_db.py                                       | Python             |         77 |         11 |         19 |        107 |
| /home/omar/Documents/ruleIQ/tests/test-utility-scripts/test_final_verification.py                             | Python             |         33 |          2 |         17 |         52 |
| /home/omar/Documents/ruleIQ/tests/test_agentic_rag.py                                                         | Python             |         68 |         10 |         16 |         94 |
| /home/omar/Documents/ruleIQ/tests/test_ai_assessment_endpoints_integration.py                                 | Python             |        223 |         17 |         39 |        279 |
| /home/omar/Documents/ruleIQ/tests/test_ai_cost_management.py                                                  | Python             |        696 |         31 |        165 |        892 |
| /home/omar/Documents/ruleIQ/tests/test_ai_ethics.py                                                           | Python             |        448 |         20 |        103 |        571 |
| /home/omar/Documents/ruleIQ/tests/test_ai_neon.py                                                             | Python             |         71 |         12 |         14 |         97 |
| /home/omar/Documents/ruleIQ/tests/test_ai_policy_functional.py                                                | Python             |        101 |         13 |         36 |        150 |
| /home/omar/Documents/ruleIQ/tests/test_ai_policy_generator.py                                                 | Python             |        348 |         29 |         89 |        466 |
| /home/omar/Documents/ruleIQ/tests/test_ai_policy_simple.py                                                    | Python             |         79 |         12 |         31 |        122 |
| /home/omar/Documents/ruleIQ/tests/test_ai_policy_streaming.py                                                 | Python             |        483 |         32 |         93 |        608 |
| /home/omar/Documents/ruleIQ/tests/test_ai_policy_streaming_edge_cases.py                                      | Python             |        402 |         27 |         61 |        490 |
| /home/omar/Documents/ruleIQ/tests/test_ai_policy_streaming_simple.py                                          | Python             |        237 |         34 |         47 |        318 |
| /home/omar/Documents/ruleIQ/tests/test_ai_quick.py                                                            | Python             |         61 |          7 |         20 |         88 |
| /home/omar/Documents/ruleIQ/tests/test_ai_rate_limiting.py                                                    | Python             |        168 |         28 |         59 |        255 |
| /home/omar/Documents/ruleIQ/tests/test_ai_simple.py                                                           | Python             |         44 |          8 |         11 |         63 |
| /home/omar/Documents/ruleIQ/tests/test_analytics_direct.py                                                    | Python             |         67 |         12 |         28 |        107 |
| /home/omar/Documents/ruleIQ/tests/test_api_endpoints.py                                                       | Python             |         18 |          4 |          9 |         31 |
| /home/omar/Documents/ruleIQ/tests/test_app.py                                                                 | Python             |         75 |          5 |         15 |         95 |
| /home/omar/Documents/ruleIQ/tests/test_assessments_ownership.py                                               | Python             |        110 |         12 |         33 |        155 |
| /home/omar/Documents/ruleIQ/tests/test_auth_fix.py                                                            | Python             |         32 |          3 |          7 |         42 |
| /home/omar/Documents/ruleIQ/tests/test_auth_flow.py                                                           | Python             |         97 |         11 |         18 |        126 |
| /home/omar/Documents/ruleIQ/tests/test_complete_integration.py                                                | Python             |        262 |         32 |         74 |        368 |
| /home/omar/Documents/ruleIQ/tests/test_compliance_accuracy.py                                                 | Python             |        472 |         40 |        113 |        625 |
| /home/omar/Documents/ruleIQ/tests/test_compliance_assistant_assessment.py                                     | Python             |        200 |          5 |         53 |        258 |
| /home/omar/Documents/ruleIQ/tests/test_compliance_nodes.py                                                    | Python             |        343 |          5 |         69 |        417 |
| /home/omar/Documents/ruleIQ/tests/test_compliance_nodes_real.py                                               | Python             |        296 |         15 |         57 |        368 |
| /home/omar/Documents/ruleIQ/tests/test_config_env.py                                                          | Python             |        123 |         18 |         27 |        168 |
| /home/omar/Documents/ruleIQ/tests/test_database_performance.py                                                | Python             |        190 |         28 |         48 |        266 |
| /home/omar/Documents/ruleIQ/tests/test_db_connection.py                                                       | Python             |         65 |          5 |         14 |         84 |
| /home/omar/Documents/ruleIQ/tests/test_db_init.py                                                             | Python             |         82 |         12 |         32 |        126 |
| /home/omar/Documents/ruleIQ/tests/test_direct_connection.py                                                   | Python             |         39 |          6 |         12 |         57 |
| /home/omar/Documents/ruleIQ/tests/test_e2e_workflows.py                                                       | Python             |        521 |         62 |        106 |        689 |
| /home/omar/Documents/ruleIQ/tests/test_error.py                                                               | Python             |         28 |          1 |          7 |         36 |
| /home/omar/Documents/ruleIQ/tests/test_evidence_migration_tdd.py                                              | Python             |        641 |         77 |        178 |        896 |
| /home/omar/Documents/ruleIQ/tests/test_evidence_nodes_80_percent.py                                           | Python             |        227 |         29 |         66 |        322 |
| /home/omar/Documents/ruleIQ/tests/test_evidence_nodes_additional.py                                           | Python             |        245 |         42 |         87 |        374 |
| /home/omar/Documents/ruleIQ/tests/test_evidence_nodes_coverage.py                                             | Python             |        220 |         19 |         65 |        304 |
| /home/omar/Documents/ruleIQ/tests/test_evidence_nodes_final.py                                                | Python             |        228 |         19 |         68 |        315 |
| /home/omar/Documents/ruleIQ/tests/test_evidence_nodes_integration.py                                          | Python             |        328 |         38 |         97 |        463 |
| /home/omar/Documents/ruleIQ/tests/test_evidence_nodes_refactored.py                                           | Python             |        215 |         39 |         75 |        329 |
| /home/omar/Documents/ruleIQ/tests/test_evidence_orchestrator_v2.py                                            | Python             |        528 |         45 |        115 |        688 |
| /home/omar/Documents/ruleIQ/tests/test_failure_analysis.json                                                  | JSON               |        140 |          0 |          0 |        140 |
| /home/omar/Documents/ruleIQ/tests/test_feedback_system.py                                                     | Python             |        716 |         72 |        175 |        963 |
| /home/omar/Documents/ruleIQ/tests/test_fixture_isolation.py                                                   | Python             |         65 |          0 |         17 |         82 |
| /home/omar/Documents/ruleIQ/tests/test_freemium_simple.py                                                     | Python             |         48 |          7 |         12 |         67 |
| /home/omar/Documents/ruleIQ/tests/test_golden_dataset_loaders.py                                              | Python             |        290 |          7 |         67 |        364 |
| /home/omar/Documents/ruleIQ/tests/test_golden_dataset_schemas.py                                              | Python             |        322 |          1 |         24 |        347 |
| /home/omar/Documents/ruleIQ/tests/test_golden_dataset_validators.py                                           | Python             |        419 |         45 |        125 |        589 |
| /home/omar/Documents/ruleIQ/tests/test_golden_ingestion.py                                                    | Python             |         78 |          7 |         18 |        103 |
| /home/omar/Documents/ruleIQ/tests/test_golden_retrieval_api.py                                                | Python             |        179 |          8 |         39 |        226 |
| /home/omar/Documents/ruleIQ/tests/test_golden_standalone.py                                                   | Python             |        104 |         11 |         22 |        137 |
| /home/omar/Documents/ruleIQ/tests/test_golden_with_env.py                                                     | Python             |         60 |          8 |         19 |         87 |
| /home/omar/Documents/ruleIQ/tests/test_graph_execution.py                                                     | Python             |        382 |        103 |        124 |        609 |
| /home/omar/Documents/ruleIQ/tests/test_ingest.py                                                              | Python             |         52 |          8 |         14 |         74 |
| /home/omar/Documents/ruleIQ/tests/test_ingestion_simple.py                                                    | Python             |        151 |         12 |         38 |        201 |
